Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
2568	-91.46397	-261.2645	169.8005	2.052478	2.113271
2574	-96.40358	-266.581	170.1774	1.460103	2.253002
2580	-97.93457	-268.1748	170.2403	1.39729	2.253002
2586	-87.80937	-258.4616	170.6523	2.442315	1.216221
2592	-91.31639	-261.8216	170.5052	2.185077	1.534625
2598	-74.59251	-245.7707	171.1781	1.800794	1.311917
2604	-92.40532	-262.8754	170.4701	3.038173	0.7998508
2610	-83.90605	-254.8743	170.9682	1.861316	1.429538
2616	-101.8454	-273.1413	171.2959	1.701523	1.296954
2622	-106.0811	-276.7676	170.6866	2.310814	1.296954
2628	-99.81553	-270.2696	170.4541	1.665582	1.936141
2634	-106.869	-278.2121	171.3431	1.739011	1.226765
2640	-94.84627	-264.4762	169.63	3.941982	0.7046
2646	-89.93901	-259.5552	169.6162	3.710856	1.00421
2652	-84.67901	-255.0199	170.3409	2.544757	1.386051
2658	-85.82714	-256.7453	170.9181	1.967494	1.386051
2664	-81.57242	-252.3128	170.7404	1.967494	1.521556
2670	-81.19992	-252.9019	171.702	1.629769	0.9995541
2676	-94.65236	-264.6579	170.0056	3.32608	0.999627
2682	-98.5291	-269.1759	170.6468	2.226998	1.395261
2688	-94.90865	-265.8366	170.9279	1.511576	1.715839
2694	-95.11623	-265.2571	170.1408	2.027549	1.903224
2700	-85.99229	-256.9083	170.916	1.252351	1.903224
2706	-85.6705	-257.2127	171.5422	1.184067	1.507852
2712	-92.61107	-263.7046	171.0936	1.277093	1.764155
2718	-106.1958	-276.8445	170.6487	2.140802	1.460138
2724	-98.29636	-269.5042	171.2078	1.268675	1.689646
2730	-108.8678	-279.4378	170.57	2.488118	1.246906
2736	-106.1533	-277.266	171.1127	1.419522	1.64989
2742	-102.4691	-272.9036	170.4345	1.388622	2.132787
2748	-97.04757	-267.8522	170.8046	1.973655	1.468714
2754	-83.16511	-254.1073	170.9422	1.836019	1.468714
2760	-85.60008	-256.7461	171.146	2.189711	0.995569
2766	-83.45662	-254.5674	171.1108	1.954358	1.241028
2772	-77.55304	-248.5311	170.978	2.409652	0.9418677
2778	-72.21808	-243.1128	170.8947	2.423331	1.013199
2784	-79.42311	-249.3338	169.9107	3.56145	0.8458449
