"scenario","gridTag","modelID","median_cid","iqr_cid","n_reps","tree_length","gain_loss","n_char","n_taxa","part_rate","pass_rate","mean_rhat_max","mean_ess_min","mean_asdsf","mean_tree_ess","n_reps_conv","cov_tree_len","mse_tree_len","cov_error_tree_len","mean_cov_rate_loss","mean_mse_rate_loss","cov_error_rate_loss","mean_cgr_coverage","cov_error_cgr"
"nt","tl2.50_gl1.00_pr2.50_c25","model3",0.596021861651198,0.0971192930938209,10,2.5,1,25,50,2.5,1,0.999497037180022,819.457753476143,0.00571366438611289,454.498909741893,10,0.8,0.305146219232991,0.15,0.8,0.169872816803758,0.15,0.8,0.15
"nt","tl2.50_gl1.00_pr2.50_c25","model4",0.588804319382964,0.0990217770072723,10,2.5,1,25,50,2.5,1,0.999522835225691,786.767721951367,0.00556936510823984,438.339753178543,10,0.4,1.05341100492683,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr2.50_c25","model5",0.588797225498919,0.0985423556424045,10,2.5,1,25,50,2.5,1,0.999544507939528,775.449480296448,0.00549000949929895,454.945615794762,10,0.4,1.08348596412059,0.55,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr2.50_c25","model6",0.590348412570722,0.105259978478559,10,2.5,1,25,50,2.5,1,0.999521219338112,767.303242488755,0.00554540230481093,459.700890330811,10,0.5,1.37156972639521,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c25","model7",0.591286384763413,0.105719656986432,10,2.5,1,25,50,2.5,1,0.999586887026491,806.574427978728,0.00524398978465441,490.684448814881,10,0.4,1.41830832194696,0.55,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr2.50_c25","model8",0.58995692317678,0.106751106154023,10,2.5,1,25,50,2.5,1,0.99957164262587,814.020295267879,0.00533737952249256,510.282663520435,10,0.5,1.36495618016365,0.45,NA,NA,NA,0.75,0.2
"nt","tl2.50_gl1.00_pr2.50_c25","model9",0.579849734362857,0.102522033703553,9,2.5,1,25,50,2.5,0.9,0.999647298068789,686.849835604562,0.00464610659282889,514.191096476904,10,0.4,1.58453191420148,0.55,NA,NA,NA,0.666666666666667,0.283333333333333
"nt","tl2.50_gl1.00_pr2.50_c50","model1",0.390123104777187,0.0865746528292248,10,2.5,1,50,50,2.5,1,0.999352776912441,754.63962890455,0.00617916679073048,387.179881365897,10,0.5,1.96635859165784,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c50","model10",0.391732442672397,0.0687282275102545,10,2.5,1,50,50,2.5,1,0.999455287605766,774.430611931027,0.00566746272666707,466.515890996808,10,0.2,3.88597514891453,0.75,NA,NA,NA,0.55,0.4
"nt","tl2.50_gl1.00_pr2.50_c50","model11",0.370925997008267,0.0880260784291775,10,2.5,1,50,50,2.5,1,0.999379218156153,755.748893138691,0.00630762872528419,235.560477852924,10,0.5,0.902622564473051,0.45,NA,NA,NA,0.5,0.45
