Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
1044	-627.1301	-790.1568	163.0267	0.2484383	0.8660936	0.8159111	1.028148	0.497403	0.502597	0.594015	0.405985	5.127935
1050	-628.781	-792.2503	163.4693	0.06732005	0.7255925	0.858617	0.8672156	0.468461	0.531539	0.394847	0.605153	5.127935
1056	-628.174	-791.4304	163.2564	0.09952831	0.5030537	1.208963	0.8078891	0.414022	0.585978	0.531817	0.468183	5.164265
1062	-632.2092	-795.315	163.1059	0.2001941	0.6912861	1.007999	0.9313908	0.506213	0.493787	0.359901	0.640099	5.164265
1068	-636.6089	-799.467	162.8581	0.2566093	0.6912861	0.5536803	0.9313908	0.453538	0.546462	0.548197	0.451803	5.486456
1074	-628.3274	-790.5395	162.2121	0.2890349	0.9776486	0.7433402	0.7370501	0.598815	0.401185	0.591174	0.408826	5.702368
1080	-627.1061	-789.7094	162.6032	0.02289494	0.8542412	0.9583629	1.156305	0.598815	0.401185	0.381668	0.618332	5.36125
1086	-637.1565	-799.8259	162.6694	0.07768936	0.9081658	0.9696462	1.132811	0.418679	0.581321	0.52893	0.47107	5.253117
1092	-646.8851	-808.709	161.8239	0.4774968	1.177549	0.8658582	0.8544604	0.550255	0.449745	0.472183	0.527817	5.556411
1098	-647.9274	-809.2035	161.2761	0.2143314	1.070987	0.799119	0.7473024	0.60811	0.39189	0.507297	0.492703	6.161499
1104	-647.2817	-810.6889	163.4072	0.05793145	0.6883802	0.910945	0.7705852	0.651289	0.348711	0.536654	0.463346	5.225729
1110	-639.6766	-802.1296	162.453	0.3533409	0.9158588	1.027032	0.9708515	0.455136	0.544864	0.403832	0.596168	5.278251
1116	-648.5338	-813.5497	165.0159	0.1816826	0.4830093	0.5375388	1.096808	0.681131	0.318869	0.451352	0.548648	4.36816
1122	-641.8335	-805.8826	164.0491	0.6233443	0.7249555	0.7153101	1.159917	0.446108	0.553892	0.599245	0.400755	4.408065
1128	-645.3913	-808.8023	163.411	0.5750558	0.7249555	1.263319	1.302226	0.443888	0.556112	0.41262	0.58738	4.408065
1134	-647.9347	-811.9453	164.0107	0.4239618	0.7706337	0.8416251	1.342789	0.693619	0.306381	0.589919	0.410081	4.386611
1140	-645.2927	-809.0299	163.7372	0.410002	0.6257073	1.259145	1.338439	0.656283	0.343717	0.391708	0.608292	4.37948
1146	-638.2151	-803.8489	165.6337	0.2804387	0.5556366	1.028872	1.391328	0.703001	0.296999	0.365095	0.634905	3.530003
1152	-646.5177	-811.6373	165.1196	0.137788	0.6543284	0.8300958	1.542548	0.563175	0.436825	0.621026	0.378974	3.838326
1158	-646.5731	-809.8227	163.2496	0.5007228	0.9696598	0.980901	1.110235	0.675409	0.324591	0.613062	0.386938	4.71039
1164	-639.6162	-801.6166	162.0005	0.5007228	0.6953953	0.6624414	0.6427747	0.626958	0.373042	0.58834	0.41166	5.951718
1170	-653.6881	-816.6932	163.0051	0.4412896	0.9533861	1.171048	0.5780069	0.596831	0.403169	0.32931	0.67069	5.073613
1176	-649.6435	-813.1194	163.4759	0.3594104	0.8203125	0.6634797	1.034326	0.546597	0.453403	0.456006	0.543994	4.912617
1182	-634.2437	-799.7107	165.467	0.2427771	0.6391094	1.214119	1.034326	0.59953	0.40047	0.456006	0.543994	3.649749
1188	-633.4749	-797.1798	163.7049	0.4815508	0.7506915	1.200248	0.8578547	0.651851	0.348149	0.456006	0.543994	4.583585
